Creating power curve for the following inputs:
v(mph),P (W),Range (mi)
1,1070.8914176059202,56.0279791164739
2,1142.023361263644,105.07645292867919
3,1213.636357024975,148.3143158187397
4,1285.9709309417174,186.6290459231382
5,1359.2676090656742,220.70665695799966
6,1433.7669174486496,251.08634291159612
7,1509.7093821424473,278.1986909794674
8,1587.3355291988705,302.3929389996965
9,1666.8858846697235,323.9567524094284
10,1748.6009746068091,343.13078199631684
11,1832.721325061932,360.11950795393784
12,1919.4874620868954,375.0993939792835
13,2009.139911733503,388.2250614832861
14,2101.9192000535586,399.63398579807205
15,2198.065853098866,409.4500755997385
16,2297.820396921228,417.7864001000422
17,2401.4233575724493,424.74726102393754
18,2509.1152611043335,430.42975841376983
19,2621.1366335686835,434.9249646322204
20,2737.7280010173035,438.3187954343196
21,2859.1298895019972,440.692647871907
22,2985.5828250745694,442.1238602091084
23,3117.327333786822,442.68603769025634
24,3254.6039416905587,442.4492790392395
25,3397.6531748375846,441.4803313797894
26,3546.715559279702,439.84269543152874
27,3702.031621068716,437.5966980629126
28,3863.8418862564295,434.7995453596318
29,4032.3868808946454,431.50536614219635
30,4207.907131035168,427.7652532236993
31,4390.6431627298025,423.6273075478731
32,4580.835502030351,419.13668861528544
33,4778.724674988616,414.3356732303671
34,4984.551207656404,409.2637235308413
35,5198.555626085516,403.9575644472871
36,5420.978456327759,398.4512701424922
37,5652.060224434932,392.776358560911
38,5892.041456458844,386.96189294507207
39,6141.1626784512955,381.0345890192082
40,6399.664416464088,375.01892647543826
41,6667.787196549031,368.937263402805
42,6945.771544757923,362.8099523559156
43,7233.857987142572,356.6554568524851
44,7532.287049754779,350.4904672051651
45,7841.299258646346,344.3300147225482
46,8161.135139869082,338.18758344926925
47,8492.035219474783,332.07521874965636
48,8834.240023515262,326.00363216897534
49,9187.990078042318,319.9823021278849
50,9553.52590910775,314.0195701172244
51,9931.08804276337,308.12273216057
52,10320.917005060975,302.29812540059464
53,10723.253322052375,296.55120974219915
54,11138.33751978937,290.8866445510257
55,11566.41012432376,285.3083604609685
56,12007.711661707357,279.8196263894834
57,12462.482657991959,274.42311189577083
58,12930.963639229369,269.1209450452263
59,13413.395131471396,263.9147659648627
60,13910.017660769838,258.80577628963977
61,14421.071753176504,253.79478470964497
62,14946.797934743194,248.88224883367457
63,15487.436731521708,244.06831358668887
64,16043.228669563861,239.3528463575201
65,16614.41427492144,234.73546910968406
66,17201.23407364627,230.21558766268933
67,17803.92859179014,225.79241834430357
68,18422.73835540485,221.4650122061923
69,19057.90389054222,217.232276986526
70,19709.665723254035,213.09299699381617
71,20378.264379592118,209.04585107661634
72,21063.940385608257,205.08942883399723
73,21766.93426735426,201.2222452120164
74,22487.48655088193,197.4427536218762
75,23225.837762243085,193.74935770618572
76,23982.228427489503,190.1404218707817
77,24756.899072673004,186.61428069097516
78,25550.0902238454,183.16924729290528
79,26362.042407058467,179.80362080291914
80,27192.99614836403,176.51569295057703
81,28043.191973813897,173.3037539040005
82,28912.87040945985,170.16609740983642
83,29802.27198135371,167.10102530409665
84,30711.63721554727,164.10685145453522
85,31641.206638092357,161.18190519002616
86,32591.220775040747,158.32453426759412
87,33561.92015244425,155.53310742329913
88,34553.545296354685,152.80601654907352
89,35566.33673282383,150.1416785338296
90,36600.534987903506,147.53853680368073
91,37656.38058764553,144.99506259292957
92,38734.11405810167,142.50975597455056
93,39833.97592532375,140.0811466762155
94,40956.20671536357,137.70779470546194
95,42101.046954272955,135.38829080536385
96,43268.737168103675,133.1212567600216
97,44459.517882907545,130.9053455673245
98,45673.6296247364,128.7392414947409
99,46911.312919642,126.62166003234637
